ASA,ASE,Variable,Description,CMD
True,True,DisablePvEGamma,"Default value: False Value type: boolean If True, prevents use of console command ""gamma"" in PvE mode.",V
True,True,DisableStructureDecayPvE,"Default value: False Value type: boolean If True, disables the gradual auto-decay of player structures.",V
True,True,DisableWeatherFog,"Default value: False Value type: boolean If True, disables fog.",V
True,True,DontAlwaysNotifyPlayerJoined,"Default value: False Value type: boolean If True, globally disables player joins notifications.",V
True,True,EnableExtraStructurePreventionVolumes,"Default value: False Value type: boolean If True, disables building in specific resource-rich areas, in particular setup on The Island around the major mountains.",V
True,True,EnablePvPGamma,"Default value: False Value type: boolean If True, allows use of console command ""gamma"" in PvP mode.",V
None,True,ExtinctionEventTimeInterval,Value type: seconds Used to enable the extinction mode (ARKpocalypse). The number is the time in seconds. Use 2592000 value for 30 days.,V
None,True,FastDecayUnsnappedCoreStructures,"Default value: False Value type: boolean If True, unsnapped foundations/pillars/fences/Tek Dedicated Storage will decay after the time stated by FastDecayInterval in Game.ini (default is 12 hours). Before 259.0, it set the decay time for such structures straight to 5 times faster.",V
None,True,ForceAllStructureLocking,"Default value: False Value type: boolean If True, will default lock all structures.",V
True,True,globalVoiceChat,"Default value: False Value type: boolean If True, voice chat turns global.",V
True,True,HarvestAmountMultiplier,"Default value: 1.0 Value type: float Specifies the scaling factor for yields from all harvesting activities (chopping down trees, picking berries, carving carcasses, mining rocks, etc.). Higher values increase the amount of materials harvested with each strike.",V
True,True,HarvestHealthMultiplier,"Default value: 1.0 Value type: float Specifies the scaling factor for the ""health"" of items that can be harvested (trees, rocks, carcasses, etc.). Higher values increase the amount of damage (i.e., ""number of strikes"") such objects can withstand before being destroyed, which results in higher overall harvest yields.",V
None,True,IgnoreLimitMaxStructuresInRangeTypeFlag,"Default value: False Value type: boolean If True, removes the limit of 150 decorative structures (flags, signs, dermis etc.).",X
True,True,ItemStackSizeMultiplier,"Default value: 1.0 Value type: float Allow increasing or decreasing global item stack size, this means all default stack sizes will be multiplied by the value given (excluding items that have a stack size of 1 by default).",V
True,True,KickIdlePlayersPeriod,"Default value: 3600.0 Value type: float Time in seconds after which characters that have not moved or interacted will be kicked (if -EnableIdlePlayerKick as command line parameter is set). Note: although at code level it is defined as a floating-point number, it is suggested to use an integer instead.",V
None,True,MaxGateFrameOnSaddles,"Default value: 0 Value type: integer Defines the maximum amount of gateways allowed on platform saddles. A value of 2 would prevent players from placing more than 2 gateways on their platform saddles (used in Official PvP servers). This setting is not retroactive, meaning existing builds won't be affected. Set to 0 to not allow players to place gateways on platform saddles (used in Official PvE servers).",X
None,True,MaxHexagonsPerCharacter,Default value: 2000000000 Value type: integer Sets the max amount of Hexagon a Character can accumulate. Official set it to 2500000.,X
True,True,MaxPersonalTamedDinos,"Default value: 0 Value type: integer Sets a per-tribe creature tame limit (500 on official PvE servers, 300 in official PvP servers). The Default value of 0 disables such limit.",V
None,True,MaxPlatformSaddleStructureLimit,Default value: 75 Value type: integer Changes the maximum number of platformed-creatures/rafts allowed on the ARK (a potential performance cost). Example: MaxPlatformSaddleStructureLimit=10 would only allow 10 platform saddles/rafts across the entire ARK.,V
True,True,MaxTamedDinos,"Default value: 5000.0 Value type: float Sets the maximum number of tame creatures on a server, this is a global cap. Note: although at code level it is defined as a floating-point number, it is suggested to use an integer instead.",V
None,True,MaxTributeCharacters,Default value: 10 Value type: integer Slots for uploaded characters. Any value less than default will be reverted. Note: rising it may corrupt player/cluster data and lead to lose of all stored characters.,V
True,True,MaxTributeDinos,Default value: 20 Value type: integer Slots for uploaded creatures. Any value less than default will be reverted. Note: Some player claimed maximum 273 to be safe cap and more will corrupt profile/cluster and lead to lose of all stored creatures but it need to be checked,V
True,True,MaxTributeItems,Default value: 50 Value type: integer Slots for uploaded items and resources. Any value less than default will be reverted. Note: Some player claimed maximum 154 to be safe cap and more will corrupt profile/cluster and lead to lose of all stored items and resources but it need to be checked,V
True,True,NightTimeSpeedScale,"Default value: 1.0 Value type: float Specifies the scaling factor for the passage of time in the ARK during night time. This value determines the length of each night, relative to the length of each day (as specified by DayTimeSpeedScale) Lowering this value increases the length of each night.",V
True,True,NonPermanentDiseases,"Default value: False Value type: boolean If True, makes permanent diseases not permanent. Players will lose them if on re-spawn.",V
None,True,NPCNetworkStasisRangeScalePlayerCountStart,"Default value: 0 Value type: integer Minimum number of online players when the NPC Network Stasis Range Scale override is enabled (requires inputting into INI, not command line). Used to override the NPC Network Stasis Range Scale (to scale server performance for more player), on default is set to 0, disabling it. Official set it to 24.",X
None,True,NPCNetworkStasisRangeScalePlayerCountEnd,"Default value: 0 Value type: integer Maximum number of online players when NPCNetworkStasisRangeScalePercentEnd is reached (requires inputting into INI, not command line). Used to override the NPC Network Stasis Range Scale (to scale server performance for more player), on default is set to 0, disabling it. Official set it to 70",X
None,True,NPCNetworkStasisRangeScalePercentEnd,"Default value: 0.55000001 Value type: float The Maximum scale percentage used when NPCNetworkStasisRangeScalePlayerCountEnd is reached (requires inputting into INI, not command line). Used to override the NPC Network Stasis Range Scale (to scale server performance for more player). Official set it to 0.5.",X
None,True,OnlyAutoDestroyCoreStructures,"Default value: False Value type: boolean If True, prevents any non-core/non-foundation structures from auto-destroying (however they'll still get auto-destroyed if a floor that they're on gets auto-destroyed). Official PvE Servers use this option.",V
None,True,OnlyDecayUnsnappedCoreStructures,"Default value: False Value type: boolean If True, only unsnapped core structures will decay. Useful for eliminating lone pillar/foundation spam.",V
True,True,OverrideOfficialDifficulty,Default value: 0.0 Value type: float Allows you to override the default server difficulty level of 4 with 5 to match the new official server difficulty level. Default value of 0.0 disables the override. A value of 5.0 will allow common creatures to spawn up to level 150. Originally (247.95) available only as command line option.,V
True,True,OverrideStructurePlatformPrevention,"Default value: False Value type: boolean If True, turrets becomes be buildable and functional on platform saddles. Since 247.999 applies on spike structure too. Note: despite patch notes, in ShooterGameServer it's coded OverrideStructurePlatformPrevention with two r.",V
True,True,OxygenSwimSpeedStatMultiplier,Default value: 1.0 Value type: float Use this to set how swim speed is multiplied by level spent in oxygen. The value was reduced by 80% in 256.0.,V
True,True,PerPlatformMaxStructuresMultiplier,Default value: 1.0 Value type: float Higher value increases (from a percentage scale) max number of items place-able on saddles and rafts.,V
None,True,PersonalTamedDinosSaddleStructureCost,"Default value: 0 Value type: integer Determines the amount of ""tame creature slots"" a platform saddle (with structures) will use towards the tribe tame creature limit.",V
True,True,PlatformSaddleBuildAreaBoundsMultiplier,Default value: 1.0 Value type: float Increasing the number allows structures being placed further away from the platform.,V
True,True,PlayerCharacterFoodDrainMultiplier,Default value: 1.0 Value type: float Specifies the scaling factor for player characters' food consumption. Higher values increase food consumption (player characters get hungry faster).,V
True,True,PlayerCharacterHealthRecoveryMultiplier,Default value: 1.0 Value type: float Specifies the scaling factor for player characters' health recovery. Higher values increase the recovery rate (player characters heal faster).,V
True,True,PlayerCharacterStaminaDrainMultiplier,Default value: 1.0 Value type: float Specifies the scaling factor for player characters' stamina consumption. Higher values increase stamina consumption (player characters get tired faster).,V
True,True,PlayerCharacterWaterDrainMultiplier,Default value: 1.0 Value type: float Specifies the scaling factor for player characters' water consumption. Higher values increase water consumption (player characters get thirsty faster).,V
True,True,PlayerDamageMultiplier,Default value: 1.0 Value type: float Specifies the scaling factor for the damage players deal with their attacks. The Default value 1 provides normal damage. Higher values increase damage. Lower values decrease it.,V
True,True,PlayerResistanceMultiplier,"Default value: 1.0 Value type: float Specifies the scaling factor for the resistance to damage players receive when attacked. The Default value 1 provides normal damage. Higher values decrease resistance, increasing damage per attack. Lower values increase it, reducing damage per attack. A value of 0.5 results in a player taking half damage while a value of 2.0 would result in taking double normal damage.",V
True,True,PreventDiseases,"Default value: False Value type: boolean If True, completely diseases on the server. Thus far just Swamp Fever.",V
True,True,PreventMateBoost,"Default value: False Value type: boolean If True, disables creature mate boosting.",V
True,True,PreventOfflinePvP,"Default value: False Value type: boolean If True, enables the Offline Raiding Prevention (ORP). When all tribe members are logged off, tribe characters, creature and structures become invulnerable. Creature starvation still applies, moreover, characters and creature can still die if drowned. Despite the name, it works on both PvE and PvP game modes. Due to performance reason, it is recommended to set a minimum interval with PreventOfflinePvPInterval option before ORP becomes active. ORP also helps lowering memory and CPU usage on a server. Enabled by default on Official PvE since 258.3",V
True,True,PreventOfflinePvPInterval,"Default value: 0.0 Value type: float Seconds to wait before a ORP becomes active for tribe/players and relative creatures/structures (10 seconds in official PvE servers). Note: although at code level it is defined as a floating-point number, it is suggested to use an integer instead.",V
True,True,PreventSpawnAnimations,"Default value: False Value type: boolean If True, player characters (re)spawn without the wake-up animation.",V
True,True,PreventTribeAlliances,"Default value: False Value type: boolean If True, prevents tribes from creating Alliances.",V
True,True,ProximityChat,"Default value: False Value type: boolean If True, only players near each other can see their chat messages",V
True,True,PvEAllowStructuresAtSupplyDrops,"Default value: False Value type: boolean If True, allows building near supply drop points in PvE mode.",V
True,True,PvEDinoDecayPeriodMultiplier,Default value: 1.0 Value type: float Creature PvE auto-decay time multiplier. Requires DisableDinoDecayPvE=false in GameUserSettings.ini or ?DisableDinoDecayPvE=false in command line to work.,V
None,True,PvEStructureDecayPeriodMultiplier,"Default value: 1.0 Value type: float Specifies the scaling factor for structures decay times, e.g.: setting it at 2.0 will double all structure decay times, while setting at 0.5 will halve the timers. Note: despite the name, works in both PvP and PvE modes when structure decay is enabled.",V
True,True,PvPDinoDecay,"Default value: False Value type: boolean If True, enables creatures' decay in PvP while the Offline Raid Prevention is active.",V
None,True,PvPStructureDecay,"Default value: False Value type: boolean If True, enables structures decay on PvP servers while the Offline Raid Prevention is active.",V
True,True,RaidDinoCharacterFoodDrainMultiplier,"Default value: 1.0 Value type: float Affects how quickly the food drains on such ""raid dinos"" (e.g.: Titanosaurus)",V
True,True,RandomSupplyCratePoints,"Default value: False Value type: boolean If True, supply drops are in random locations. Note: This setting is known to cause artifacts becoming inaccessible on Ragnarok if active.",V
None,True,RCONEnabled,"Default value: False Value type: boolean If True, enables RCON, needs RCONPort=<TCP_PORT> and ServerAdminPassword=<admin_password> to work.",V
True,True,RCONPort,Default value: 27020 Value type: integer Specifies the optional TCP RCON Port. See Dedicated server setup,V
True,True,RCONServerGameLogBuffer,Default value: 600.0 Value type: float Determines how many lines of game logs are send over the RCON. Note: despite being coded as a float it's suggested to treat it as integer.,V
True,True,ResourcesRespawnPeriodMultiplier,"Default value: 1.0 Value type: float Specifies the scaling factor for the re-spawn rate for resource nodes (trees, rocks, bushes, etc.). Lower values cause nodes to re-spawn more frequently.",V
True,True,ServerAdminPassword,"Value type: string If specified, players must provide this password (via the in-game console) to gain access to administrator commands on the server. Note: no quotes are used.",V
None,True,ServerAutoForceRespawnWildDinosInterval,Default value: 0.0 Value type: float Force re-spawn of all wild creatures on server restart afters the value set in seconds. Default value of 0.0 disables it. Useful to prevent certain creature species (like the Basilo and Spino) from becoming depopulated on long running servers.,V
True,True,ServerCrosshair,"Default value: True Value type: boolean If False, disables the Crosshair on your server.",V
True,True,ServerForceNoHUD,"Default value: False Value type: boolean If True, HUD is always disabled for non-tribe owned NPCs.",V
True,True,ServerHardcore,"Default value: False Value type: boolean If True, enables Hardcore mode (player characters revert to level 1 upon death)",V
True,True,ServerPassword,"Value type: string If specified, players must provide this password to join the server. Note: no quotes are used.",V
True,True,serverPVE,"Default value: False Value type: boolean If True, disables PvP and enables PvE",V
True,True,ShowFloatingDamageText,"Default value: False Value type: boolean If True, enables RPG-style popup damage text mode.",V
True,True,ShowMapPlayerLocation,"Default value: True Value type: boolean If False, hides each player their own precise position when they view their map.",V
None,True,SpectatorPassword,"Value type: string To use non-admin spectator, the server must specify a spectator password. Then any client can use these console commands: requestspectator <password> and stopspectating. Note: no quotes are used.",V
None,True,StructureDamageMultiplier,"Default value: 1.0 Value type: float Specifies the scaling factor for the damage structures deal with their attacks (i.e., spiked walls). Higher values increase damage. Lower values decrease it.",V
True,True,StructurePickupHoldDuration,"Default value: 0.5 Value type: float Specifies the quick pick-up hold duration, a value of 0 results in instant pick-up.",V
True,True,StructurePickupTimeAfterPlacement,Default value: 30.0 Value type: float Amount of time in seconds after placement that quick pick-up is available.,V
True,True,StructurePreventResourceRadiusMultiplier,Default value: 1.0 Value type: float Same as ResourceNoReplenishRadiusStructures in Game.ini. If both settings are set both multiplier will be applied. Can be useful when cannot change the Game.ini file as it works as a command line option too.,V
True,True,StructureResistanceMultiplier,"Default value: 1.0 Value type: float Specifies the scaling factor for the resistance to damage structures receive when attacked. The Default value 1 provides normal damage. Higher values decrease resistance, increasing damage per attack. Lower values increase it, reducing damage per attack. A value of 0.5 results in a structure taking half damage while a value of 2.0 would result in a structure taking double normal damage.",V
None,True,TamedDinoDamageMultiplier,Default value: 1.0 Value type: float Specifies the scaling factor for the damage tame creatures deal with their attacks. The Default value 1 provides normal damage. Higher values increase damage. Lower values decrease it.,V
None,True,TamedDinoResistanceMultiplier,"Default value: 1.0 Value type: float Specifies the scaling factor for the resistance to damage tame creatures receive when attacked. The Default value 1 provides normal damage. Higher values decrease resistance, increasing damage per attack. Lower values increase it, reducing damage per attack. A value of 0.5 results in a structure taking half damage while a value of 2.0 would result in a structure taking double normal damage.",V
True,True,TamingSpeedMultiplier,Default value: 1.0 Value type: float Specifies the scaling factor for creature taming speed. Higher values make taming faster.,V
True,True,TheMaxStructuresInRange,Default value: 10500 Value type: integer Specifies the maximum number of structures that can be constructed within a certain (currently hard-coded) range. Replaces the old value NewMaxStructuresInRange,V
None,True,TribeLogDestroyedEnemyStructures,"Default value: False Value type: boolean By default, enemy structure destruction (for the victim tribe) is not displayed in the tribe Logs, set this to true to enable it.",V
True,True,TribeNameChangeCooldown,"Default value: 15.0 Value type: float Cool-down, in minutes, in between tribe name changes. Official server use a value of 172800.0 (2 days).",V
None,True,UseFjordurTraversalBuff,"Default value: False Value type: boolean If True, enables the biome teleport in Fjordur when holding R (enabled in official PvE servers).",X
None,True,UseOptimizedHarvestingHealth,"Default value: False Value type: boolean If True, enables a server harvesting optimization with high HarvestAmountMultiplier (but less rare items). Note: on  ARK: Survival Evolved it's suggested to enable this option if harvesting with Tek Stryder causes lag spikes.",V
True,True,XPMultiplier,"Default value: 1.0 Value type: float Specifies the scaling factor for the experience received by players, tribes and tames for various actions. The Default value 1 provides the same amounts of experience as in the single player experience (and official public servers). Higher values increase XP amounts awarded for various actions; lower values decrease it. In 313.5 an additional hardcoded multiplier of 4 was activated.",V
None,True,CrossARKAllowForeignDinoDownloads,"Default value: False Value type: boolean If True, enables non-native creatures tribute download on Aberration.",V
None,True,MinimumDinoReuploadInterval,Default value: 0.0 Value type: float Number of seconds cool-down between allowed creature re-uploads (43200 on official Servers which is 12 hours).,V
True,True,noTributeDownloads,"Default value: False Value type: boolean If True, prevents CrossArk-data downloads inCross-ARK Data Transfer.",V
True,True,PreventDownloadDinos,"Default value: False Value type: boolean If True, prevents creatures download from ARK Data in Cross-ARK Data Transfer.",V
True,True,PreventDownloadItems,"Default value: False Value type: boolean If True, prevents items download from ARK Data in Cross-ARK Data Transfer.",V
True,True,PreventDownloadSurvivors,"Default value: False Value type: boolean If True, prevents survivors download from ARK Data in Cross-ARK Data Transfer.",V
None,True,PreventUploadDinos,"Default value: False Value type: boolean If True, prevents creatures upload to ARK Data in Cross-ARK Data Transfer.",V
None,True,PreventUploadItems,"Default value: False Value type: boolean If True, prevents items upload to ARK Data in Cross-ARK Data Transfer.",V
None,True,PreventUploadSurvivors,"Default value: False Value type: boolean If True, prevents survivors upload to ARK Data in Cross-ARK Data Transfer.",V
None,True,TributeCharacterExpirationSeconds,"Default value: 0 Value type: integer Set in seconds the expiration timer for uploaded survivors in ARK Data. With default or negative values there is no expiration time. Check Cross-ARK Data Transfer for more details. Warning: do not set this option to an insane high value, like more than 31536000 seconds (which is 1 year), as in ARK Data routines this is summed to upload time in Unix Epoch time format. Using really high values will result in overflow and may cause upload time checks to fail and ARK Data deleted.",V
None,True,TributeDinoExpirationSeconds,"Default value: 86400 Value type: integer Set in seconds the expiration timer for uploaded tames in ARK Data. If set to 0 or less will revert to default. Check Cross-ARK Data Transfer for more details. Warning: do not set this option to an insane high value, like more than 31536000 seconds (which is 1 year), as in ARK Data routines this is summed to upload time in Unix Epoch time format. Using really high values will result in overflow and may cause upload time checks to fail and ARK Data deleted.",V
None,True,TributeItemExpirationSeconds,"Default value: 86400 Value type: integer Set in seconds the expiration timer for uploaded items in ARK Data. If set to 0 or less will revert to default. Check Cross-ARK Data Transfer for more details. Warning: do not set this option to an insane high value, like more than 31536000 seconds (which is 1 year), as in ARK Data routines this is summed to upload time in Unix Epoch time format. Using really high values will result in overflow and may cause upload time checks to fail and ARK Data deleted.",V
None,True,CryopodNerfDamageMult,"Default value: 0.0099999998 Value type: float Reduces the amount of damage dealt by the creature after it is deployed from the cryopod, as a percentage of total damage output, and for the length of time set by CryopodNerfDuration. CryopodNerfDuration needs to be set as well. CryopodNerfDamageMult=0.01 means 99% of the damage is removed. On official it is set to 0.1.",V
None,True,CryopodNerfDuration,"Default value: 0.0 Value type: integer Amount of time, in seconds, Cryosickness lasts after deploying a creature from a Cryopod. Note: although at code level it is defined as a floating-point number, it is suggested to use an integer instead. On official it is set to 10.0.",V
None,True,CryopodNerfIncomingDamageMultPercent,"Default value: 0.0 Value type: float Increases the amount of damage taken by the creature after it is deployed from the cryopod, as a percentage of total damage received, and for the length of time set by CryopodNerfDuration. CryopodNerfIncomingDamageMultPercent=0.25 means a released tame takes 25% more damage while the debuff lasts. On official it is set to 0.25.",X
None,True,EnableCryopodNerf,"Default value: False Value type: boolean If True, there is no Cryopod cooldown timer, and creatures do not become unconscious. If this option is set, than EnableCryopodNerf and CryopodNerfIncomingDamageMultPercent must be set as well or they will default to 0.",V
None,True,EnableCryoSicknessPVE,"Default value: False Value type: boolean If True, enables Cryopod cooldown timer when deploying a creature.",X
None,True,BadWordListURL,"Default value: ""http://arkdedicated.com/badwords.txt"" Value type: string with a URL Add the URL to hosting your own bad words list. Note: it supports the HTTP protocol only (HTTPS is not supported).",X
None,True,BadWordWhiteListURL,"Default value: ""http://arkdedicated.com/goodwords.txt"" Value type: string with a URL Add the URL to hosting your own good words list. Note: it supports the HTTP protocol only (HTTPS is not supported).",X
None,True,bFilterCharacterNames,"Default value: False Value type: boolean If True, filters out character names based on the bad words/good words list.",X
None,True,bFilterChat,"Default value: False Value type: boolean If True, filters out character names based on the bad word/good words list.",X
None,True,bFilterTribeNames,"Default value: False Value type: boolean If True, filters out tribe names based on the badwords/goodwords list.",X
None,True,AllowDeprecatedStructures,"Default value: False Value type: boolean If True, allows servers to keep the Halloween Structures for a while after event ends (had to be used before relaunching the server with 222.3 update). Since no more events are planned to be activated or removed, this feature can be considered deprecated.",V
None,True,bAllowFlyerCarryPVE,Default value: False Value type: boolean Use AllowFlyerCarryPvE.,X
None,True,bDisableStructureDecayPvE,Default value: False Value type: boolean Use DisableStructureDecayPvE.,X
None,True,ForceFlyerExplosives,"Default value: False Value type: boolean If True, allowed flyers (except Quetzal and Wyvern) to fly with C4 attached to it. Deprecated since 253.95.",X
None,True,MaxStructuresInRange,Default value: 1300 Value type: integer Specifies the maximum number of structures that can be constructed within a certain (currently hard-coded) range. Deprecated with patch 188.0 by NewMaxStructuresInRange.,X
None,True,NewMaxStructuresInRange,Default value: 6000 Value type: integer Specifies the maximum number of structures that can be constructed within a certain (currently hard-coded) range. Deprecated with patch 252.1 by TheMaxStructuresInRange.,X
None,True,PvEStructureDecayDestructionPeriod,"Default value: 0 Value type: integer Specified the time required for player structures to decay in PvE mode. Deprecated and no more present in executable bits with patch 180.0 where each type of structure has its own decay time, increasing with ""tier quality"".[2]",X
None,True,AllowedCheatersURL,Default value: N/A Value type: string with a URL Alternative to AllowedCheaterSteamIDs.txt usage (see Administrator Whitelisting) using a web resource (e.g.: official uses http://arkdedicated.com/globaladmins.txt). The interval at which the server queries the resource to check for admin list update is defined by UpdateAllowedCheatersInterval Note: it supports the HTTP protocol only (HTTPS is not supported). Undocumented by Wildcard.,V
