ASA,ASE,Variable,Beschreibung
True,True,DisableImprintDinoBuff,"Standardwert: False Werttyp: boolean Wenn True, wird der Stat-Bonus des Spielers, der die Kreatur prägt, deaktiviert. Wobei derjenige, der die Kreatur speziell geprägt und ihr eine Prägungsqualität verliehen hat, einen zusätzlichen Schadens-/Widerstands-Buff erhält."
True,True,DisablePvEGamma,"Standardwert: False. Werttyp: boolean. Wenn True, wird die Verwendung des Konsolenbefehls gamma im PvE-Modus verhindert."
True,True,DisableStructureDecayPvE,"Standardwert: False Werttyp: boolean Wenn True, wird der allmähliche automatische Zerfall von Spielerstrukturen deaktiviert."
True,True,DisableWeatherFog,"Standardwert: False Werttyp: boolean Wenn True, wird Nebel deaktiviert."
True,True,DontAlwaysNotifyPlayerJoined,"Standardwert: False Werttyp: boolean Wenn True, werden Benachrichtigungen über Spielerbeitritte global deaktiviert."
True,True,EnableExtraStructurePreventionVolumes,"Standardwert: False Werttyp: boolean Wenn True, wird der Bau in bestimmten ressourcenreichen Gebieten deaktiviert, insbesondere auf der Insel rund um die großen Berge."
True,True,EnablePvPGamma,"Standardwert: False Werttyp: boolean Wenn True, erlaubt es die Verwendung des Konsolenbefehls gamma im PvP-Modus."
None,True,ExtinctionEventTimeInterval,"Werttyp: Sekunden Wird verwendet, um den Extinktionsmodus (ARKpocalypse) zu aktivieren. Die Zahl ist die Zeit in Sekunden. Verwenden Sie den Wert 2592000 für 30 Tage."
None,True,FastDecayUnsnappedCoreStructures,"Standardwert: False Werttyp: boolean Wenn True, verfallen nicht einrastende Fundamente/Säulen/Zäune/Tek Dedicated Storage nach der durch FastDecayInterval in Game.ini angegebenen Zeit (Standard ist 12 Stunden). Vor 259.0, Es hat die Abklingzeit für solche Strukturen direkt auf das Fünffache beschleunigt."
None,True,ForceAllStructureLocking,"Standardwert: False Werttyp: boolean Wenn True, werden standardmäßig alle Strukturen gesperrt."
True,True,globalVoiceChat,"Standardwert: False Werttyp: boolean Wenn True, wird der Voice-Chat global."
True,True,HarvestAmountMultiplier,"Standardwert: 1,0 Werttyp: Float Gibt den Skalierungsfaktor für Erträge aus allen Ernteaktivitäten an (Bäume fällen, Beeren pflücken, Kadaver schnitzen, Steine ​​abbauen usw.). Höhere Werte erhöhen die Materialmenge mit jedem Schlag geerntet."
True,True,HarvestHealthMultiplier,"Standardwert: 1.0 Werttyp: Float Gibt den Skalierungsfaktor für die Gesundheit von Gegenständen an, die geerntet werden können (Bäume, Steine, Kadaver usw.). Höhere Werte erhöhen die Schadensmenge (d. h. Anzahl der Schläge) können solche Objekte aushalten, bevor sie zerstört werden, was zu höheren Gesamternteerträgen führt."
None,True,IgnoreLimitMaxStructuresInRangeTypeFlag,"Standardwert: False Werttyp: boolean Wenn True, wird die Beschränkung auf 150 dekorative Strukturen (Flaggen, Schilder, Dermis usw.) entfernt."
True,True,ItemStackSizeMultiplier,"Standardwert: 1.0 Werttyp: Float Erlaubt das Erhöhen oder Verringern der globalen Elementstapelgröße. Dies bedeutet, dass alle Standardstapelgrößen mit dem angegebenen Wert multipliziert werden (mit Ausnahme von Elementen, die standardmäßig eine Stapelgröße von 1 haben). ."
True,True,KickIdlePlayersPeriod,"Standardwert: 3600.0 Werttyp: float Zeit in Sekunden, nach der Zeichen, die sich nicht bewegt oder interagiert haben, gekickt werden (wenn -EnableIdlePlayerKick als Befehlszeilenparameter festgelegt ist). Hinweis: Obwohl dies auf Codeebene der Fall ist als Gleitkommazahl definiert ist, wird empfohlen, stattdessen eine ganze Zahl zu verwenden."
None,True,MaxGateFrameOnSaddles,"Standardwert: 0 Werttyp: Ganzzahl Definiert die maximale Anzahl von Gateways, die auf Plattformsätteln zulässig sind. Ein Wert von 2 würde Spieler daran hindern, mehr als 2 Gateways auf ihren Plattformsätteln zu platzieren (wird auf offiziellen PvP-Servern verwendet). . Diese Einstellung ist nicht rückwirkend, was bedeutet, dass bestehende Builds nicht betroffen sind. Wird auf 0 gesetzt, um es Spielern nicht zu erlauben, Gateways auf Plattformsätteln zu platzieren (wird auf offiziellen PvE-Servern verwendet)."
None,True,MaxHexagonsPerCharacter,"Standardwert: 2000000000 Werttyp: Ganzzahl Legt die maximale Anzahl an Sechsecken fest, die ein Charakter ansammeln kann. Offiziell wurde der Wert auf 2500000. festgelegt"
True,True,MaxPersonalTamedDinos,"Standardwert: 0 Werttyp: Ganzzahl Legt ein Limit für die Zähmung von Kreaturen pro Stamm fest (500 auf offiziellen PvE-Servern, 300 auf offiziellen PvP-Servern). Der Standardwert 0 deaktiviert dieses Limit."
None,True,MaxPlatformSaddleStructureLimit,"Standardwert: 75 Werttyp: Ganzzahl Ändert die maximal zulässige Anzahl von Plattformkreaturen/Flößen auf dem ARK (ein potenzieller Leistungsverlust). Beispiel: MaxPlatformSaddleStructureLimit=10 würde nur 10 Plattformsättel/Flöße im gesamten ARK. zulassen"
True,True,MaxTamedDinos,"Standardwert: 5000.0 Werttyp: Float Legt die maximale Anzahl zahmer Kreaturen auf einem Server fest. Dies ist eine globale Obergrenze. Hinweis: Obwohl sie auf Codeebene als Gleitkommazahl definiert ist, ist sie es auch vorgeschlagen, stattdessen eine ganze Zahl zu verwenden."
True,False,MaxTamedDinos_SoftTameLimit,"Standardwert: 5000 legt das serverweite Soft-Tame-Limit fest"
True,False,MaxTamedDinos_SoftTameLimit_CountdownForDeletionDuration Standardwert: 604800 Stellen Sie den Timer für die Zerstörung in Sekunden ein
None,True,MaxTributeCharacters,"Standardwert: 10 Werttyp: Ganzzahl Slots für hochgeladene Zeichen. Jeder Wert, der unter dem Standardwert liegt, wird zurückgesetzt. Hinweis: Eine Erhöhung kann die Spieler-/Clusterdaten beschädigen und zum Verlust aller gespeicherten Charaktere führen."
True,True,MaxTributeDinos,"Standardwert: 20 Werttyp: Ganzzahl Slots für hochgeladene Kreaturen. Jeder Wert, der unter dem Standardwert liegt, wird zurückgesetzt. Hinweis: Einige Spieler haben angegeben, dass maximal 273 eine sichere Obergrenze sind, und mehr wird das Profil/den Cluster beschädigen und zum Verlust aller gespeicherten Kreaturen führen, aber das muss überprüft werden"
True,True,MaxTributeItems,"Standardwert: 50 Werttyp: Ganzzahl Slots für hochgeladene Elemente und Ressourcen. Jeder Wert, der unter dem Standardwert liegt, wird zurückgesetzt. Hinweis: Einige Spieler haben maximal 154 als sichere Obergrenze angegeben, und mehr wird das Profil/den Cluster beschädigen und zum Verlust aller gespeicherten Gegenstände und Ressourcen führen, aber das muss überprüft werden"
True,True,NightTimeSpeedScale,"Standardwert: 1.0 Werttyp: Float Gibt den Skalierungsfaktor für den Zeitablauf im ARK während der Nachtzeit an. Dieser Wert bestimmt die Länge jeder Nacht im Verhältnis zur Länge jedes Tages (wie angegeben). durch DayTimeSpeedScale) Durch Verringern dieses Werts wird die Länge jeder Nacht erhöht."
True,True,NonPermanentDiseases,"Standardwert: False Werttyp: boolean Wenn True, werden permanente Krankheiten nicht dauerhaft. Spieler verlieren sie, wenn sie erneut erscheinen."
None,True,NPCNetworkStasisRangeScalePlayerCountStart,"Standardwert: 0 Werttyp: Ganzzahl Mindestanzahl an Online-Spielern, wenn die Überschreibung der NPC-Netzwerk-Stasis-Reichweitenskala aktiviert ist (erfordert eine Eingabe in INI, nicht in der Befehlszeile). Wird zum Überschreiben der NPC-Netzwerk-Stasis-Reichweitenskala verwendet (um die Serverleistung für mehr Spieler zu skalieren), ist die Standardeinstellung auf 0 und die offizielle Einstellung auf 24."
None,True,NPCNetworkStasisRangeScalePlayerCountEnd,"Standardwert: 0 Werttyp: Ganzzahl Maximale Anzahl von Online-Spielern, wenn NPCNetworkStasisRangeScalePercentEnd erreicht ist (erfordert eine Eingabe in INI, nicht in der Befehlszeile). Wird verwendet, um die NPC Network Stasis Range Scale zu überschreiben (um die Serverleistung zu skalieren). (mehr Spieler) ist standardmäßig auf 0 eingestellt und wird offiziell auf 70 eingestellt"
None,True,NPCNetworkStasisRangeScalePercentEnd,"Standardwert: 0,55000001 Werttyp: Float Der maximale Skalierungsprozentsatz, der verwendet wird, wenn NPCNetworkStasisRangeScalePlayerCountEnd erreicht ist (erfordert eine Eingabe in INI, nicht in der Befehlszeile). Wird verwendet, um die NPC Network Stasis Range Scale zu überschreiben (um die Serverleistung zu skalieren). mehr Spieler). Der Beamte hat den Wert auf 0,5 eingestellt"
None,True,OnlyAutoDestroyCoreStructures,"Standardwert: False Werttyp: boolean Wenn True, wird verhindert, dass alle Nicht-Kern-/Nicht-Fundamentstrukturen automatisch zerstört werden (sie werden jedoch trotzdem automatisch zerstört, wenn ein Stockwerk, auf dem sie sich befinden). wird automatisch zerstört). Offizielle PvE-Server verwenden diese Option"
None,True,OnlyDecayUnsnappedCoreStructures,"Standardwert: False Werttyp: boolean Wenn True, verfallen nur nicht eingerastete Kernstrukturen. Nützlich für die Eliminierung von Einzelsäulen-/Fundament-Spam."
True,True,OverrideOfficialDifficulty,"Standardwert: 0,0 Werttyp: Float Ermöglicht Ihnen, den standardmäßigen Server-Schwierigkeitsgrad von 4 durch 5 zu überschreiben, um ihn an den neuen offiziellen Server-Schwierigkeitsgrad anzupassen. Der Standardwert 0,0 deaktiviert die Überschreibung. Ein Wert von 5,0 ermöglicht das Spawnen gewöhnlicher Kreaturen bis zur Stufe 150. Ursprünglich (247,95) nur als Befehlszeilenoption verfügbar."
True,True,OverrideStructurePlatformPrevention,"Standardwert: False Werttyp: boolean Wenn True, werden Türme auf Plattformsätteln baubar und funktionsfähig. Da 247.999 auch für Spike-Strukturen gilt. Hinweis: Trotz Patchnotizen ist es in ShooterGameServer OverrideStructurePlatformPrevention mit zwei r codiert ."
True,True,OxygenSwimSpeedStatMultiplier,"Standardwert: 1,0 Werttyp: Float Verwenden Sie dies, um festzulegen, wie die Schwimmgeschwindigkeit mit dem Sauerstoffverbrauch multipliziert wird. Der Wert wurde im Jahr 256.0. um 80 % reduziert"
True,True,PerPlatformMaxStructuresMultiplier,"Standardwert: 1,0 Werttyp: Float Höhere Werte erhöhen (aus einer Prozentskala) die maximale Anzahl von Elementen, die auf Sätteln und Flößen platziert werden können."
None,True,PersonalTamedDinosSaddleStructureCost,"Standardwert: 0 Werttyp: Ganzzahl Bestimmt die Anzahl der Slots für zahme Kreaturen, die ein Plattformsattel (mit Strukturen) für das Limit für zahme Kreaturen des Stammes verwendet."
True,True,PlatformSaddleBuildAreaBoundsMultiplier,"Standardwert: 1,0 Werttyp: Float Durch Erhöhen der Zahl können Strukturen weiter von der Plattform entfernt platziert werden."
True,True,PlayerCharacterFoodDrainMultiplier,"Standardwert: 1,0 Werttyp: Float Gibt den Skalierungsfaktor für den Nahrungsverbrauch von Spielercharakteren an. Höhere Werte erhöhen den Nahrungsverbrauch (Spielercharaktere werden schneller hungrig)."
True,True,PlayerCharacterHealthRecoveryMultiplier,"Standardwert: 1,0 Werttyp: Float Gibt den Skalierungsfaktor für die Gesundheitswiederherstellung von Spielercharakteren an. Höhere Werte erhöhen die Erholungsrate (Spielercharaktere heilen schneller)."
True,True,PlayerCharacterStaminaDrainMultiplier,"Standardwert: 1,0 Werttyp: Float Gibt den Skalierungsfaktor für den Ausdauerverbrauch von Spielercharakteren an. Höhere Werte erhöhen den Ausdauerverbrauch (Spielercharaktere werden schneller müde)."
True,True,PlayerCharacterWaterDrainMultiplier,"Standardwert: 1,0 Werttyp: Float Gibt den Skalierungsfaktor für den Wasserverbrauch von Spielercharakteren an. Höhere Werte erhöhen den Wasserverbrauch (Spielercharaktere werden schneller durstig)."
True,True,PlayerDamageMultiplier,"Standardwert: 1,0 Werttyp: Float Gibt den Skalierungsfaktor für den Schaden an, den Spieler mit ihren Angriffen verursachen. Der Standardwert 1 sorgt für normalen Schaden. Höhere Werte erhöhen den Schaden. Niedrigere Werte verringern es."
True,True,PlayerResistanceMultiplier,"Standardwert: 1,0 Werttyp: Float Gibt den Skalierungsfaktor für den Schadenswiderstand an, den Spieler erhalten, wenn sie angegriffen werden. Der Standardwert 1 sorgt für normalen Schaden. Höhere Werte verringern den Widerstand und erhöhen den Schaden pro Angriff. Niedrigere Werte erhöhen Es verringert den Schaden pro Angriff. Ein Wert von 0,5 führt dazu, dass ein Spieler die Hälfte des Schadens erleidet, während ein Wert von 2,0 dazu führen würde, dass er den doppelten normalen Schaden erleidet"
True,True,PreventDiseases,"Standardwert: False Werttyp: boolean Wenn True, vollständig Krankheiten auf dem Server. Bisher nur Swamp Fever."
True,True,PreventMateBoost,"Standardwert: False Werttyp: boolean Wenn True, wird die Verstärkung von Kreaturenkameraden deaktiviert."
True,True,PreventOfflinePvP,"Standardwert: False Werttyp: boolean Wenn True, wird die Offline Raiding Prevention (ORP) aktiviert. Wenn alle Stammesmitglieder abgemeldet sind, werden Stammescharaktere, Kreaturen und Strukturen unverwundbar. Darüber hinaus gilt weiterhin der Kreaturenhunger Trotz des Namens können Charaktere und Kreaturen sowohl im PvE- als auch im PvP-Spielmodus sterben. Aus Leistungsgründen wird empfohlen, ein Mindestintervall mit der Option PreventOfflinePvPInterval festzulegen, um den Speicher zu verringern und CPU-Auslastung auf einem Server standardmäßig im offiziellen PvE aktiviert, seit 258,3"
True,True,PreventOfflinePvPInterval,"Standardwert: 0,0 Werttyp: float Sekunden, die gewartet werden müssen, bevor ein ORP für Stamm/Spieler und relative Kreaturen/Strukturen aktiv wird (10 Sekunden auf offiziellen PvE-Servern). Hinweis: Obwohl es auf Codeebene definiert ist B. als Gleitkommazahl, wird empfohlen, stattdessen eine ganze Zahl zu verwenden."
True,True,PreventSpawnAnimations,"Standardwert: False Werttyp: boolean Wenn True, erscheinen Spielercharaktere (erneut) ohne die Weckanimation."
True,True,PreventTribeAlliances,"Standardwert: False Werttyp: boolean Wenn True, wird verhindert, dass Stämme Allianzen bilden."
True,True,ProximityChat,"Standardwert: False Werttyp: boolean Wenn True, können nur Spieler in der Nähe zueinander ihre Chatnachrichten sehen"
True,True,PvEAllowStructuresAtSupplyDrops,"Standardwert: False Werttyp: boolean Wenn True, erlaubt es den Bau in der Nähe von Versorgungsabwurfpunkten im PvE-Modus."
True,True,PvEDinoDecayPeriodMultiplier,"Standardwert: 1,0 Werttyp: float Kreaturen-PvE-Auto-Decay-Zeitmultiplikator. Erfordert DisableDinoDecayPvE=false in GameUserSettings.ini oder ?DisableDinoDecayPvE=false in der Befehlszeile, um zu funktionieren."
None,True,PvEStructureDecayPeriodMultiplier,"Standardwert: 1,0 Werttyp: Float Gibt den Skalierungsfaktor für die Zerfallszeiten von Strukturen an, z. B.: Wenn Sie ihn auf 2,0 einstellen, werden alle Zerfallszeiten der Strukturen verdoppelt, während die Einstellung auf 0,5 die Timer halbiert. Hinweis: Trotz der Name, funktioniert sowohl im PvP- als auch im PvE-Modus, wenn der Strukturzerfall aktiviert ist."
True,True,PvPDinoDecay,"Standardwert: False Werttyp: boolean Wenn True, wird der Verfall von Kreaturen im PvP aktiviert, während die Offline-Raid-Prävention aktiv ist."
None,True,PvPStructureDecay,"Standardwert: False Werttyp: boolean Wenn True, wird der Zerfall von Strukturen auf PvP-Servern aktiviert, während die Offline-Raid-Prävention aktiv ist."
True,True,RaidDinoCharacterFoodDrainMultiplier,"Standardwert: 1.0 Werttyp: Float Beeinflusst, wie schnell die Nahrung auf solchen Raid-Dinos (z. B.: Titanosaurus) abfließt"
True,True,RandomSupplyCratePoints,"Standardwert: False Werttyp: boolean Wenn True, werden Versorgungslieferungen an zufälligen Orten durchgeführt. Hinweis: Es ist bekannt, dass diese Einstellung dazu führt, dass Artefakte auf Ragnarok nicht mehr zugänglich sind, wenn sie aktiv sind."
None,True,RCONEnabled,"Standardwert: False Werttyp: boolean Wenn True, wird RCON aktiviert, benötigt RCONPort=<TCP_PORT> und ServerAdminPassword=<admin_password>, um zu funktionieren."
True,True,RCONPort,"Standardwert: 27020 Werttyp: Ganzzahl Gibt den optionalen TCP-RCON-Port an. Siehe Einrichtung eines dedizierten Servers"
True,True,RCONServerGameLogBuffer,"Standardwert: 600.0 Werttyp: Float Legt fest, wie viele Zeilen Spielprotokolle über den RCON gesendet werden. Hinweis: Obwohl es als Float codiert ist, wird empfohlen, es als Ganzzahl zu behandeln."
True,True,ResourcesRespawnPeriodMultiplier,"Standardwert: 1.0 Werttyp: Float Gibt den Skalierungsfaktor für die Re-Spawn-Rate für Ressourcenknoten (Bäume, Felsen, Büsche usw.) an. Niedrigere Werte führen dazu, dass Knoten häufiger neu erscheinen."
True,True,ServerAdminPassword,"Werttyp: Zeichenfolge Wenn angegeben, müssen Spieler dieses Passwort (über die Konsole im Spiel) angeben, um Zugriff auf Administratorbefehle auf dem Server zu erhalten. Hinweis: Es werden keine Anführungszeichen verwendet."
